audio_path,caption
agbadja/agbadja_1.wav,traditional Agbadja instrumental with energetic percussions and rhythmic patterns
agbadja/agbadja_2.wav,Agbadja style instrumental featuring steady drums and melodic rhythmic flow
agbadja/agbadja_3.wav,traditional Agbadja groove recorded with percussive texture and cultural rhythm
agbadja/agbadja_4.wav,Agbadja instrumental loop with steady tempo and ancestral percussive elements
agbadja/agbadja_5.wav,deep Agbadja percussive ensemble creating a traditional rhythmic atmosphere
agbadja/agbadja_6.wav,authentic Agbadja instrumental pattern with vibrant rhythmic beats
agbadja/agbadja_7.wav,Agbadja rhythm section emphasizing hand drums and traditional groove
agbadja/agbadja_8.wav,percussive Agbadja instrumentation with energetic pulse and cultural tone
agbadja/agbadja_9.wav,traditional Benin Agbadja melody played with rhythmic drum foundation
agbadja/agbadja_10.wav,agbadja instrumental with layered percussion and steady cultural swing
agbadja/agbadja_11.wav,Agbadja rhythm instrumental focused on drums and traditional tempo
agbadja/agbadja_12.wav,deep traditional Agbadja groove with evolving rhythmic texture
agbadja/agbadja_13.wav,instrumental Agbadja beat highlighting dynamic drum sequences
agbadja/agbadja_14.wav,Agbadja percussive progression with cultural rhythmic identity
agbadja/agbadja_15.wav,traditional Agbadja instrumental loop with warm percussive tones
agbadja/agbadja_16.wav,authentic Agbadja rhythm with layered percussion and stable groove
